iter	RMSE
1514	10882.49616
1515	10880.32934
1516	10876.42524
1517	10876.2876
1518	10870.9231
1519	10868.86915
1520	10868.73304
1521	10868.56419
1522	10863.66942
1523	10861.44499
1524	10859.45009
1525	10856.9345
1526	10852.15356
1527	10843.72252
1528	10843.5891
1529	10843.29353
1530	10840.67224
1531	10837.96905
1532	10835.12849
1533	10827.53638
1534	10823.87504
1535	10819.34207
1536	10817.12299
1537	10813.13917
1538	10811.60506
1539	10806.55938
1540	10804.63218
1541	10799.68676
1542	10799.5569
1543	10790.33615
1544	10788.22451
1545	10786.20525
1546	10783.23181
1547	10777.10294
1548	10769.23279
1549	10760.40499
1550	10760.27806
1551	10758.17745
1552	10753.23522
1553	10752.14124
1554	10750.28936
1555	10748.1614
1556	10744.52645
1557	10740.53801
1558	10738.7361
1559	10732.84116
1560	10726.98772
1561	10725.14317
1562	10725.0181
1563	10723.27228
1564	10723.14877
1565	10718.87342
1566	10714.13074
1567	10708.46284
1568	10708.34014
1569	10704.46422
1570	10696.42932
1571	10693.53355
1572	10693.10441
1573	10692.82722
1574	10689.51499
1575	10689.39431
1576	10688.93633
1577	10685.74206
1578	10679.80344
1579	10677.40567
1580	10676.95663
1581	10675.95271
1582	10670.10754
1583	10669.9876
1584	10667.14548
1585	10665.47622
1586	10663.17555
1587	10658.99218
1588	10655.76641
1589	10654.12569
1590	10648.64612
1591	10648.52889
1592	10644.32206
1593	10643.01477
1594	10642.89911
1595	10641.30342
1596	10640.34078
1597	10637.27169
1598	10634.73235
1599	10631.13335
1600	10631.03044
1601	10628.46036
1602	10625.97912
1603	10623.12701
1604	10616.44738
1605	10612.43446
1606	10609.80939
1607	10606.34735
1608	10599.88136
1609	10594.5635
1610	10594.399
1611	10590.67084
1612	10586.23064
1613	10581.07314
1614	10580.80668
1615	10576.54183
1616	10570.04675
1617	10567.0114
1618	10564.21272
1619	10563.97035
1620	10561.04788
1621	10560.93576
1622	10559.05026
1623	10557.96802
